"year","month","temp.max","temp.min","temp.media","chloa.max","chloa.min","chloa.media","poc.max","poc.min","poc.media","tmin.sard","tmax.sard","tmean.sard","tsd.sard","tmin.eez","tmax.eez","tmean.eez","tsd.eez"
2002,"Aug",28.19999886,24.59499931,26.92737442,17.71714592,0.381916016,3.14747332,NA,NA,NA,24.5949994502589,31.2599993012846,27.0391646570104,0.589670448220046,24.514999452047,34.4499992299825,28.3012022085926,0.696791629052661
2002,"Sep",31.2349987,26.81999969,28.14123399,17.90826035,0.257015884,1.893153998,505.5999146,75.59990692,205.0113361,26.8199994005263,31.5249992953613,28.1386493710522,0.609815370047659,26.3349994113669,35.0249992171302,29.028891081759,0.663626322684037
2002,"Oct",29.20999908,26.28499985,27.53135739,15.87665462,0.34057501,2.374665567,924.7999268,83.79990387,262.423852,26.2849994124845,31.1799993030727,27.6177274092297,0.483451789806293,26.2849994124845,34.9799992181361,28.7285090281677,0.57531638470517
2002,"Nov",27.91499901,25.41499901,26.3090426,22.05426979,0.351492703,4.617539235,998.3999023,84.1999054,428.6575114,25.4149994319305,29.1099993493408,26.3909994101152,0.439036250720166,25.1049994388595,38.8199991323054,28.0741698771764,0.637281402910398
2002,"Dec",26.05500031,23.3599987,24.66894351,38.33135223,1.028310418,6.31767989,991.7999268,165.9999084,523.7853657,23.3549994779751,28.7849993566051,24.9842385719935,0.648899490436717,23.3549994779751,38.0999991483986,27.1657633476154,0.717600836011328
2003,"Jan",26.00499916,23.53999901,24.43432046,15.00681591,1.276562452,4.427790608,980.5999146,219.3999023,547.2441999,23.3049994790927,29.3949993429706,24.7915436862665,0.73280452962072,23.3049994790927,37.8499991539866,26.7354209408186,0.719347003171668
2003,"Feb",26.01499939,22.67499924,24.19204341,24.14460564,1.229088902,4.908744273,918.3999023,194.1999054,438.6015645,22.6749994931743,29.5799993388355,24.3762515702075,0.659928812221343,22.6749994931743,38.9249991299585,26.4166179027199,0.711124204541181
2003,"Mar",25.71999931,22.3599987,23.96090853,9.187756538,0.612228096,3.489279191,936.5999146,115.1999054,368.5916344,22.3599995002151,30.5049993181601,24.3438855102935,0.893518183064138,22.2499995026737,38.7399991340935,26.4915528607423,0.837843787516621
2003,"Apr",28.61999893,23.14999962,25.08947326,15.61108303,0.297693104,1.887156927,421.3999023,82.99990845,196.8324657,23.1499994825572,28.6199993602931,25.203639712042,0.764725452937812,22.8499994892627,34.6399992257357,27.0348750952184,0.67931537169454
2003,"May",28.30999947,22.92499924,24.60804978,53.42400742,0.689891636,5.135690315,967.5999146,124.5999069,374.587409,22.9249994875863,31.0899993050843,24.7552439660701,0.67357222312077,22.9249994875863,39.2099991235882,27.0642944421343,0.808800323556366
2003,"Jun",26.78499985,23.47500038,24.71153548,9.964529991,0.539708197,3.258654203,738.999939,106.1999054,251.0647731,23.4749994752929,30.0899993274361,24.9331052447494,0.637750837937174,23.1899994816631,36.3849991867319,27.2342862036191,0.811720272691741
2003,"Jul",26.9849987,24.76000023,25.8918007,32.60381699,0.426604897,3.844429864,956.7999268,96.1999054,289.7034802,24.7599994465709,31.1399993039668,26.0950497523006,0.54150310673646,24.1499994602054,39.2199991233647,27.3964079804076,0.800100969472827
2003,"Aug",29.08499908,25.36499977,27.14368684,20.58970261,0.30329144,3.683835543,952.5999146,75.79990387,352.9376868,25.3649994330481,32.7949992669746,27.2822114102284,0.701331009932075,25.3649994330481,34.2099992353469,28.5008381488175,0.799774784974094
2003,"Sep",31.28499985,26.77999878,28.47904259,7.102730274,0.231958449,1.311856659,980.7999268,66.79990387,217.216084,26.7799994014204,31.8349992884323,28.5588531822579,0.556028002428013,26.6849994035438,35.434999207966,29.1369169128516,0.684751134685225
2003,"Oct",34.80500031,27.82999992,28.92671715,4.071840763,0.225354537,1.11479918,519.5999146,58.39990616,205.3864843,27.829999377951,34.8049992220476,29.0664384950513,0.541060581839496,27.4099993873388,36.5499991830438,29.5872610707922,0.442285775854719
2003,"Nov",29.43999863,26.87999916,28.27160428,8.186084747,0.143308893,1.441291261,991.7999268,44.99990463,227.4144765,26.8799993991852,30.9149993089959,28.3608993660845,0.56459590860029,26.2499994132668,35.474999207072,28.9696443933046,0.490856128714917
2003,"Dec",28.90499878,25.44999886,26.7835577,7.844046116,0.431944907,2.39939071,986.5999146,103.39991,331.2209623,25.4499994311482,29.3849993431941,26.8198582045162,0.478783220722271,25.4499994311482,34.1199992373586,27.9566541439342,0.488617151237074
2004,"Jan",27.45499992,24.96999931,25.60063574,8.950962067,0.491335809,2.356352286,766.1998901,101.5999069,320.6687396,24.9349994426593,28.4749993635342,25.8323660892683,0.387793908802004,24.3799994550645,33.4899992514402,27.1222196558679,0.554025109262556
2004,"Feb",25.92000008,24.02999878,24.99291081,51.6373024,0.477995634,5.141171086,990.3999023,138.7999115,457.5778427,24.0299994628876,29.6099993381649,25.2684707189894,0.546889811886072,23.5499994736165,38.6699991356581,26.7790030510068,0.647963334161315
2004,"Mar",26.04500008,22.36499977,24.75282969,11.0966835,0.681511879,3.371229869,887.7999268,128.9999084,351.344195,22.3649995001033,30.6549993148074,25.0401168899742,0.675901116067895,22.3649995001033,39.2749991221353,26.8091674784625,0.737153032007697
2004,"Apr",27.65999985,23.91499901,25.50403062,18.58117294,0.627486527,3.384164965,991.3999023,121.9999084,314.7912758,23.829999467358,32.1649992810562,25.6076936843802,0.723620121973033,22.7549994913861,35.454999207519,27.5282504992244,0.75657173643824
2004,"May",28.78999901,24.29500008,26.18512925,80.7272644,0.237127408,8.386119495,848.3999023,67.1999054,273.0441384,24.2949994569644,30.6049993159249,26.3089960105876,0.627608827999024,23.7849994683638,38.5449991384521,27.5958990099187,0.72971173071341
2004,"Jun",29.24499893,23.92499924,25.58237286,83.11303711,0.287593275,8.564226233,918.3999023,81.79990387,324.6816289,23.9249994652346,29.8749993322417,25.7540229933763,0.644646356707423,23.1099994834512,39.8049991102889,27.3546880531713,0.713656495631736
